timestamp x y z roll pitch yaw view_angle_deg
1773029344.281083 -1.424289 -0.967264 5.143007 -150.891 -12.162 -114.370 32.793
1773029344.300796 -1.495900 -1.007588 5.247015 -154.134 -8.784 -110.959 27.636
1773029344.834237 -2.329260 -0.949227 5.832250 -107.808 34.488 -54.913 54.293
1773029344.900428 -2.432301 -0.994420 6.023898 -120.476 33.373 -59.957 44.401
1773029344.933995 -2.429168 -0.994564 5.991564 -124.234 32.708 -62.636 41.133
1773029344.965899 -2.430002 -0.995396 5.985610 -127.552 32.284 -65.251 38.333
1773029345.001290 -2.452526 -1.002978 6.033985 -132.247 31.493 -68.265 34.534
1773029345.033251 -2.480699 -1.014741 6.091439 -136.855 29.646 -70.726 30.345
1773029345.065172 -2.480157 -1.013444 6.087384 -141.193 27.374 -73.322 26.026
1773029345.101274 -2.455892 -0.995616 6.031737 -144.340 25.173 -76.154 22.304
1773029345.132607 -2.440764 -0.982498 5.985617 -145.630 19.312 -79.452 16.766
1773029345.165175 -2.388764 -0.958734 5.839412 -172.890 -2.259 -88.461 18.443
1773029345.201159 -2.321108 -0.929115 5.673321 -136.974 16.289 -80.501 21.786
1773029345.232810 -2.271681 -0.908501 5.552982 -134.577 16.870 -80.209 24.127
1773029345.264951 -2.247368 -0.899163 5.495218 -133.591 16.437 -80.510 24.874
1773029345.300533 -2.223088 -0.892195 5.446240 -133.204 15.626 -81.316 25.019
1773029345.333393 -2.205196 -0.887644 5.409462 -133.126 16.099 -81.323 25.232
1773029345.365805 -2.190390 -0.885638 5.374935 -132.038 15.377 -81.330 26.056
1773029345.397145 -2.181076 -0.885175 5.354148 -131.848 15.252 -81.181 26.203
1773029345.432493 -2.176875 -0.884891 5.347182 -131.451 14.893 -81.238 26.506
1773029345.465249 -2.176421 -0.884782 5.351857 -131.657 14.375 -81.923 26.235
1773029345.496363 -2.172492 -0.882814 5.348158 -131.324 14.247 -82.192 26.558
1773029345.533442 -2.177935 -0.883259 5.363829 -131.439 14.692 -82.014 26.546
1773029345.565223 -2.183572 -0.884040 5.378644 -131.362 15.197 -81.833 26.731
1773029345.597183 -2.190840 -0.885979 5.395638 -131.710 15.403 -81.584 26.447
1773029345.632737 -2.196531 -0.887107 5.409049 -131.396 15.658 -81.233 26.801
1773029345.664283 -2.199491 -0.886853 5.416777 -131.220 15.765 -81.215 26.998
1773029345.696991 -2.206203 -0.889060 5.434303 -131.098 16.376 -80.891 27.266
1773029345.733192 -2.211699 -0.891353 5.447669 -131.180 16.393 -80.885 27.194
1773029345.765680 -2.223039 -0.896741 5.474960 -131.724 16.325 -80.852 26.668
1773029345.797968 -2.235497 -0.902756 5.504649 -132.186 16.123 -80.907 26.182
1773029345.833458 -2.245289 -0.907738 5.526737 -131.941 16.159 -80.679 26.409
1773029345.864282 -2.255101 -0.912568 5.546567 -131.528 16.212 -80.167 26.794
1773029345.897263 -2.267398 -0.919083 5.574674 -132.184 16.252 -79.932 26.193
1773029345.927450 -2.272461 -0.921685 5.584194 -132.063 16.051 -79.553 26.248
1773029345.964256 -2.273377 -0.922652 5.585183 -132.202 15.900 -79.386 26.079
1773029345.997380 -2.271327 -0.922516 5.580867 -131.999 15.476 -79.451 26.153
1773029346.028268 -2.269435 -0.922428 5.578001 -131.738 14.964 -79.377 26.276
1773029346.064522 -2.264895 -0.920061 5.568548 -131.732 13.844 -79.720 26.035
1773029346.096651 -2.264543 -0.918348 5.572165 -132.031 13.057 -80.081 25.614
1773029346.128211 -2.269142 -0.917348 5.576746 178.128 0.953 -85.129 25.244
1773029346.165008 -2.270525 -0.913224 5.583115 177.670 1.727 -85.018 25.497
1773029346.197156 -2.265176 -0.905897 5.580109 -131.475 10.800 -81.303 25.884
1773029346.228333 -2.271262 -0.903387 5.592083 177.237 3.068 -84.908 25.640
1773029346.264326 -2.268684 -0.898113 5.592854 177.064 4.292 -84.845 25.628
